Name,Comments,Travel_Date,Writing_date,Rating of 5,O/D,Secteur,Contribution
Soul P,"Just flew Royal Air Maroc from London Gatwick (LGW) to Casablanca (CMN), then connecting to Agadir (AGA), and it was one of the worst travel experiences I've ever had. I strongly recommend not flying with this airline unless you enjoy wasting your time and dealing with complete apathy. First leg: Delayed by over an hour departing Gatwick. No explanation given. Fine, delays happen—but it set the tone. Then the real fun began in Casablanca. Our connection to Agadir was delayed by a shocking 3 hours. Again, zero communication from staff. No apologies, no updates, no offers of water/food/vouchers—nothing. We were left standing around like idiots, The ground crew and gate agents acted like our ruined plans and exhausted wait were someone else's problem. Everyone seemed completely unbothered and uninterested in helping passengers. The attitude was infuriating: zero accountability, zero customer care. It felt like they couldn't care less if flights run on time or if people miss their entire day (or more). If there were a rating lower than 1 star, I'd give it— this airline's service is abysmal. Save yourself the headache and book with anyone else. EasyJet, Ryanair, or direct options to Agadir exist for a reason. Royal Air Maroc is not worth the cheap fare when you end up paying in stress, lost time, and frustration. Never again. Steer clear!",February 2026,,1,London - Agadir,International,
Jelena L,"If there was an option to rate my experience with zero, I would choose that one. This is the worst aiirline ever. I was flying from Amsterdam to Morocco on Saturday , September 2024. My luggage was lost and I picked it up on my way back to Amsterdam, on Thursday. I spent 5 days in Casablanca with no luggage, not to mention that on arrival when I declared missing luggage I eas told it would arrive the next day. The hotel stuff was really nice and they were calling airport every day, but nothing. Since this was business trip , I had to buy essential staff, both business-casual and casual. Since on the way back I picked up the luggage, I had to fit staff I bought and they wanted to charge me for excess luggage. I explained the situation, but no. Therefore, some of the things, I had to leave there. Since then, which was September 2024 I am trying to get proper refund. The airline at one point said they would accept just half, and also not the hand luggage I had to buy. Still, I haven’t received any refund, I made thousands of calls and sent tons of emails. But nothing. Each time I call, looks like I am talking to a robot - repeating the same, that someone would call me and respond. And nothing. I also asked who is going to pay for my lost time and for money that is not worth the same amount as it was 2 years ago? This is not the worst airline only, but the worst customer service as well.",March 2025,,1,Amsterdam - Casablanca,International,
Vy Huynh,"I am writing to express my serious dissatisfaction regarding delayed baggage handling on my recent flight from Casablanca to Marrakech. Upon arrival in Marrakech, my suitcase did not arrive. I was informed it remained in Casablanca and would be forwarded on one of two flights later that evening. I was told I would receive it early the following day. The next day, I received no communication. I returned to Marrakech airport myself to follow up, only to be told that the suitcase was not in Casablanca — it was still in Doha. This contradicted the initial explanation provided at the airport. The handling of this situation has been highly disorganized and unprofessional: • Conflicting information about baggage location • No proactive communication or updates • No delivery service to accommodation (I was required to collect it from the airport) • No guidance regarding compensation for essential purchases • Significant delays with no clear timeline While I understand operational disruptions can happen, what is unacceptable is the lack of accurate information and customer support. Additionally, when I visited Marrakech airport to follow up, there were many other passengers waiting for missing baggage as well. This suggests that delayed luggage may be a recurring issue and not an isolated case. Passengers should not be required to repeatedly travel to the airport to retrieve baggage caused by airline handling errors. Proper coordination, transparency, and customer care are expected. I request: • Immediate confirmation of final baggage routing • Delivery to my next destination (Fes) as agreed • Reimbursement for essential purchases made due to the delay This experience has significantly affected my trip and confidence in your airline.",February 2026,,1,,,
Marcus D,Bad service Bad airline Bad air hostess You have to know something mfk we pay our fkn money,February 2026,,1,New York City - Casablanca,International,
sandranavarro00,"I just don't have the stregnth to write anymore, so I have to summarize: terrible experience, never again",December 2025,,1,Barcelona - Praia,International,
Isaac Enmanuel V,"I am writing this review after an extremely frustrating experience with Royal Air Maroc. My checked baggage was delayed during an international connection and I have now spent almost 48 hours in Morocco without my suitcase, which contained all my clothing, personal belongings, toiletries, and medically necessary items. What is most unacceptable is not just the delay, but the total lack of coordination and accountability. I received no proactive communication, no tracking information, no delivery timeline, and no clear answers despite multiple calls and emails. At one point, customer service informed me that my baggage had been handed over to a third-party delivery company, provided only a generic Gmail address, and then attempted to shift responsibility entirely to that third party — despite the airline remaining fully responsible until delivery. This situation caused serious personal and professional disruption, including the inability to attend important meetings properly prepared. Customer service responses were slow, vague, and inconsistent, requiring constant follow-ups from my side just to obtain basic information. While the flight itself may get you from point A to point B, Royal Air Maroc’s post-flight service and baggage management are deeply unreliable. If anything goes wrong, be prepared to fight for updates, accountability, and resolution. I strongly advise travelers — especially those with connections, time-sensitive commitments, or essential items in checked luggage — to think very carefully before choosing this airline.",February 2026,,1,Madrid - Casablanca,International,
Rich M,"I am very disappointed with my recent experience with Royal Air Maroc. The flight was delayed by 3 hours and 30 minutes, with no clear explanation, no apology, and no form of compensation offered to passengers. Communication during the delay was almost nonexistent, which made the situation even more frustrating. On board, the overall service quality was poor. The cabin crew appeared unprofessional and disengaged, and the level of English from the senior cabin crew was extremely weak, to the point where basic communication was difficult. This is not acceptable for an international airline. More concerning was the lack of basic safety procedures during landing. No crew member checked whether seats were upright or if passengers’ seat belts were properly fastened. This is a fundamental safety responsibility, and ignoring it is simply unacceptable. Between the long delay, the absence of customer care, poor service standards, and safety oversights, this experience fell far below what passengers should expect from a national airline.",February 2026,,1,Doha - Casablanca,International,
Shelley M,"First and last time using this carrier. Food was TERRIBLE. Cabin crew unfriendly, no wine for dinner on the return flight and finally, we paid extra for bulk head seats but they moved us to another row not having the extra leg room. It was paid on my credit card and will dispute. I'd gladly paid extra to fly on another carrier when I go back to visit Morocco",February 2026,,2,Miami - Casablanca,International,
Escape26496536849,"My baggage was delayed for several days after arrival in Dakar (23 Jan 2026). I immediately filed a report and later submitted a compensation claim with receipts and reference number. Despite multiple follow-ups, Royal Air Maroc has completely ignored my emails. The lack of response and accountability is extremely disappointing. I would not recommend this airline based on my experience.",January 2026,,1,Islamabad - Dakar,International,
EdgeoftheCay,"RAM is an complete embarrassment to the country of Morocco! Worst international flight experience of all time: October 10th, 2025 – AT219 (Dulles International IAD to Casablanca CMN) October 24th, 2025 – AT218 (Casablanca CMN to Dulles International IAD) **Only 3.5 weeks before our trip, RAM informed us that our return flight AT218 on 10/22 had been cancelled and moved 2 DAYS LATER to 10/24 (should we wish to accept it). The new return date required us to unravel and rebook our on-ground logistics and lodging, resulting in $3,200 in additional expense. **RAM changed the aircraft on both the departure and return flights from 787-9s to 787-8s, which changed the seating configurations. We discovered that our Business Class seats had been arbitrarily reassigned and we were now seated side-by-side with total strangers across the cabin from each other. We had to call RAM customer service to fix the situation and move our seats back together. **The night before the return flight, RAM sent an email that our flight had been delayed by more than six hours. While en route to the airport, we got another email informing us that our flight had changed again and was now scheduled to depart more than seven and a half hours past the original departure time. **On the departure flight from IAD to CMN - the electronic keypad on my brother's seat glitched and his seat was unable to go flat. Return flight from CMN to IAD, the electronic keypads on BOTH our seats (1D and IF) stopped working. 1D was unable to lay flat and 1F got stuck completely in the flat position. Although flight attendants tried to reset the power boxes – it took two flight attendants to manually wrestle the seats back into position. **RAM also sent multiple emails to us stating, ‘New Entry Requirement for Morocco’ with our booking numbers referenced - - only to discover the entry requirements had NOTHING to do with our flights or our originating countries and were only relevant for passport holders from Algeria, Burkina Faso, Cape Verde, Gabon, Niger, Senegal, Togo and Tunisia going to CAN 2025 We submitted a claim on 10/31 outlining all the issues and requesting that only 1/2 our ticked cost be refunded to us. RAM never responded, so we had to call 4 times over 2.5 months to get an update on our claim. They finally responded to us on 1/20/26: ""We regret for not being able to respond favorably to your request as our regulations do not allow it. We assure you that the satisfaction of our customers is at the heart of our ambitions and our mission, and ask you to please accept the expression of our highest consideration. We look forward to having the pleasure of welcoming you once again aboard Royal Air Maroc flights."" Welcome us onboard again? Never. While the actual flight attendants and pilots were competent and professional, DO NOT PUT YOURSELF THROUGH THE STRESS OF FLYING ROYAL AIR MAROC - they are a grossly incompetent and unreliable airline that doesn't care at all about the customer experience.",October 2025,,1,Washington DC - Casablanca,International,
Interior Design... b,"The worst experience with an airline. Upon my arrival in egypt they couldn't find out luggage, we had 5 luggages as we are a family of 5. I have three kids and it was so unpleasant to arrive with non of our stuff. Once it was delivered two of the baggaes were damaged. I filed a complaint as soon as I was back from my vacation with an automatic reply that someone will get back to me. I called numerous times and they said someone will take care of my file. They finally reached out and sked me to send them proof. Which I already had but once again I sent everything they asked for. Months with no one answering and I continued to send follow up emails. In december someone answered me saying that the claim was such as long time ago and it is no longer valid. That made me furious I was like I did the claim in august 2025 not even 2 weeks after the issue and you answer 4 months after saying its not valid. THIS IS BY FAR THE WORST AIRLINE EVER. THEY HAVE NO RESPECT FOR HUMANITY AND THEREFORE I WILL HAVE TO TAKE LEGAL ACTION.",July 2025,,1,Montreal - Cairo,International,
Adam,"I will never fly RAM again. Had an 8h40m transit in Casablanca, flying in and out on Royal Air Maroc. They offer a free lounge and food vouchers for long transits, but because I bought the tickets on the Qatar Airways website they refused me them. They still get the money whichever website I used. Just an awful policy that has lost them any future custom from me. Casablanca is also terrible airport to transit by the way. Just avoid.",February 2026,,1,,,
Beverley H,"The flight was delayed by 24 hrs causing me to miss a funeral that I booked the flight to attend. Compensation offered and has taken 4 months to yet be paid out. Customer Service is ridiculous still waiting for Compensation to be paid. Worse airline I've ever travelled on, would never recommend to anyone. Absolutely awful 😖.",October 2025,,1,London - Banjul,International,
Scenic17500620325,I had a direct flight from JFK to Morocco. I checked my bags 3 hours before the flight. They lost my luggage. Customer service was useless and provided absolutely no help. Not only did my luggage have the tags that the airport put on them but it also had a very prominent personal tag I put on my bag with my email address and cell telephone number.,January 2026,,1,New York City - Casablanca,International,
Kehinde A,"Damaged bag, missing contents in the bag. No response after reporting till date Royal Air Maroc | Your ticket N° :358701400308",January 2026,,1,Miami - Abuja,International,
RANIA E,"Worst experience. Traveled with a big group of friends. They lost our luggage on both flights. Till date since December 21st the luggage is lost. No compensation, we can’t allocate them Definitely not recommended",January 2026,,1,,,
Rachel J,"The airplane interior was dirty and outdated. The 6-hour CAI to CMN flight had no entertainment screen, and my seat did not recline. I had no movie to watch, and because I had to sit upright, I could not sleep the entire time. The 8.5-hour CMN to IAD flight did have an entertainment screen, but the video froze every five minutes or so. I had to stop and resume it over and over again. I have never seen flight attendants as lazy as they were. They served one cup of water, tea/coffee, and the meal all at once, and then stayed in the back for the rest of the flight. They did not reappear until landing. Drinks were never served separately before or after that. Unlike other airlines, they did not collect trash from passengers. The inside of the plane was a complete mess, with trash scattered throughout. The meal was terrible. Truly terrible. It looked like a meal designed for a child who only eats carbohydrates. I have never seen such a small portion of protein. There were no fresh vegetables or fruit at all, and the meal was more than 80% carbohydrates. The tray was filled with different kinds of tasteless, cheap bread. I was hungry and thirsty throughout the flight. For reference, I don’t eat much. I cannot even finish a Big Mac meal, and a 6-inch Subway sandwich is enough for me. I often saw passengers going to the flight attendants’ rest area to ask for water. If this were a budget airline, I could understand it a little. But they charge more than $2,000 for a round-trip economy ticket on my route, and the service was not even up to the budget-airline standards. It was absolutely not worth the money. I flew with this airline four times, and my experience was consistently the same. I am a frequent flyer and travel often. I have flown with nearly 30 different airlines so far, and this was the worst airline and service I have ever experienced.",January 2026,,1,Cairo - Washington DC,International,
Jose Manuel D,Avoid to travel to Mauritania with Royal Air Maroc (RAM). This company does not respect guidelines for hand luggage. The manager of RAM in Nouackchott airport forces to check in hand luggage unless you pay him a bribe. Unbelievable!!!,January 2026,,1,Nouakchott - Madrid,International,
Christine,"Flight AT209 December 26/25 Montreal to Malaga - change in Casablanca. Flight delayed into Casablanca. Luggage was tagged with Short connection bag tagged and luggage did not get transferred on fight in Casablanca to Malaga Reported missing upon landing Dec 27/25 in Malaga - flight AT988 Received call Dec 28/25 from Royal Air Maroc - then nothing rest of my vacation. I told them my air tag stated the suitcase was in Terminal 1 in Casablanca. I attempted to call Royal Air Maroc x3 during my vacation and was unable to get through to a live agent. Unable to submit a complaint through their website as flight ticket number was incorrect when I copied it direct. Returned home January 2/26 - checked with Aviapartner in Malaga about status of my luggage. The agent in Malaga said Air Maroc ""don't care"" and to check when i get to Casablanca. The flight of course was delayed into Casablanca and I attempted to checked with an agent in Casablanca who said she didn't understand English and just shrugged. Since being home I have been unsuccessful in getting any response. I agree with sentiments on other’s on Trip Advisor, avoid this air line and pay the extra to fly on another airline.",December 2025,,1,Montreal - Malaga,International,
Melanie L,Awful experience. RAM cancelled the flight 30mins before departure. No reason given and no alternative flight offered. Still waiting for a refund.,January 2026,,1,Bamako - Manchester,International,
mouna m,"It was the worst trip ever I had a flight from Malaga to Casablanca and than to Doha Qatar, and due to a flight light from their side I didn’t reached my flight and I had the bad ever customer service starting from their airlines and they told me to change my flight for tomorrow and the bad think which makes the situation worst they send me to a place called oasis where the lady in the reception where so rude and told me that you have to seat on the chair till 9 pm means I have to wait 6 hours on the chair till they will see if they can find a bed for me or not and when I was asking how like this this is not my mistake she told me if you you are not ok call the police !!! at that time I went to an hotel and I pay the full cost from my pocket , I will never fly with them again and I will never recommend any one to fly with them The worst ever airlines and the people who’s working the airport worst than them for the way how to talk that we can not do anything for you !? Is it my mistake to travel with your airlines paying my hotel and my food and everything from my pocket May god take a revenge from all of you",January 2026,,1,Malaga - Casablanca,International,
MitchNewman650,"We flew comfortably on business from JFK to Casablanca. Food and service were good. A little better than airlines like United or American. Upon landing we discovered we lost a bag. That's when the incompetent customer service began. First clue, the Casablanca baggage claim area is FILLED with unclaimed bags sequestered in groups. Second clue, the number they give you to call after filling out your paperwork doesn't have the country code. Clue three, it doesn't work even if you do have a country code. (We started calling the US number.) We lost our bag on a Tuesday, on Thursday they found it. They never called us but we called every night. We told them it was too late to send it to Tangier but Fes would work. We were told they would call. Next night, no call, so we called. We learned nothing had happened. The bag was still in Casablanca and there was no schedule to send it, Fes. Next night, still no word from Royal Moroccan Air (RAM). We called again from Fes. This time the line no answer for 45 minutes. I sent RAM an email, searched for a way to escalate the issue but could not find a number.. I found a form to fill out on line. It asked for every possible piece of information as if record locator wasn't enough. Every time I tried to submit it, it said something was incorrect and blocked entering the complaint. Next evening, I called again. RAM answered. Still nothing. The bag was in Casablanca and the rep knew that we had requested it to Fes. We were now leaving Fes so I requested it go to Marrakesh. We never had one communication initiated by RAM and I asked to speak to a supervisor. They told me that they didn't have a supervisor. I asked who was in charge of luggage and they told the personnel on the airport. I asked for their number; they didn't have it. How about someone in charge of them? Nope. Who can I speak to complain to? No one. I had to fill out the complaint on line. I read all the info that was required on the form and the rep discovered that the ticket number was incorrect. It was an American Airlines ticket number not a RAM ticket number. It was, however, the ticket number on my ticket. They used another number and gave it to me. That's RAM's system. Ask for a number you can't possibly if you bought your ticket through a sister airline. This screens you from filing a complaint. It's probably not intentional but it does cut down on the complaints. I put in the new number I was give and voila: still didn't work. I finally called the Advantage Desk at American Airlines and they got to work on it. What will happen next we don't know. Nothing Royal is expected from the King's airline. I hope his ears are burning. I may write Mohammed VI, King of Morocco next to tell him he should be embarrassed.",December 2025,,2,New York City - Casablanca,International,
TheFly22,"Terrible customer service. From baggage check-in to boarding your flight, its all subpar compared to many other airlines I've flown with. Add constant delays with no communication on when or why, along with a lost bag for our entire trio, and you can guess what my review rating would be.",December 2025,,1,Toronto - Marrakech,International,
Simone C,"Absolutely horrible experience. Stuck on the plane for 3 unnecessary hours at the departure airport because ""we are experiencing issues with loading luggage"". Arrived in Casablanca with more than 3 hours delay to find out that my baggage (along with many others) had remained in Manchester. The lost and found desk completely useless and arrogant ""you expect me to know when the next flight from Manchester will be? Check online"". Here for a work trip and without the necessary clothing and documents. And in a complete limbo as to when my baggage will be with me. Ah and of course no delivery to my hotel. I have to go to the airport myself...if it will ever arrive.",January 2026,,1,Manchester - Casablanca,International,
Moe T,"I wouldn’t say that RAM is the worst ever but it has its fair share of issues and flaws. I missed my connecting flight in Casablanca, so I decided to take the train from Casa to Marrakech. The nightmare started n Marrakech when I tried to locate my luggage. I was told to go back to Casa to find my luggage. The nightmare continued when I found out that RAM cancelled my return ticket from Marrakech to NYC. I was forced to purchase a brand new one way ticket to NYC for $ 941. My initial round trips ticket was for $ 1,100. I believe what RAM does is not fair to passengers. RAM agents have o answer to why the cancellation took place. The only answer they give is “ The system does the cancellation not us”. The system is man made, it did not come from the sky. When back in NY, I will definitely be contacting the airline so that my lawyer can start a legal procedure. Punishing passengers this way is not going to sit well with so many of us that went through this horror of experience 👎",December 2025,,3,New York City - Marrakech,International,
lucky,"Horrible experience with Royal Air Maroc. Their customer service is extremely poor; they ignored all my emails about lost baggage, which they also mishandled on a previous flight. On my latest trip, they changed my seat at the gate without notice, leaving me stuck on an overnight flight. Flights were late, staff unhelpful, and overall it was a stressful and frustrating experience. I would not recommend flying with them.",January 2026,,1,Milan - Accra,International,
Masha A,"The worse airline on the planet! Whether u fly economy or business makes no difference. Your luggage can be equally lost. It’s been 10 days and my luggage contains insulin injections that need to be refrigerated! Medicine costs a fortune and moreover it is impossible to obtain in the country where I’m at the moment. The airline isn’t responding to foreign luggage liaisons, no emails, no calls, only Instagram social media works. I invite all passengers who have suffered at the hands of this mishandling airline to write to media outlets and join us in search of my missing luggage!",December 2025,,1,Malaga - Moscow,Russia,
Yiga U,"I have a 15 hours delay in Casanblanca, without any complimentary hotel. Just sat for 14 hours. Then the flight was delayed extra 40 mins. Got to JFK New York and didn't see my check-in luggage. It's been two days now.",December 2025,,1,Casablanca - New York City,International,
Jenefer k,"Never ever again will I use air Morocco, worst airline ever I wished I read the reviews before booking. Spent £3500 for business class and you will think your luggage will be a priority I guess not. Travelled for a child’s birthday and my best friend wedding had all the outfits including the wedding dress that was bought in the uk, only for the suitcase to arrive 4 days after and completely ruined what was supposed to be a magical moment. I will not recommend it at all!!!",December 2025,,1,London - Conakry,International,
Anders P,"Banjul (Gambia) Casablanca on 24th Dec. 2025. This was 1st leg on a lengthy journey across Africa. RAM in Banjul could not issue all onward Boarding Passes with OW-partners, but it was later amended in Casablanca. Aircraft was surprisingly upgraded from a narrowbody to a Dreamliner B787-800, filled by only 20+ persons. Took a seat in the middle, surrounded by loads of empty seats. The catering was hasty and very superficial, only a single cold sandwich was served, wine given upon request, though. I felt comfortable with all the space and IFE. Got no extra sandwich despite requesting it but was offered extra local red wine instead - without requesting it. On this 3-hour red-eye flight the staff was hardly seen and the galleys unstaffed. Hear-sets provided for IFE, which was good. However, no pillows or blankets could be provided and cabin was chilly. In Casablanca, RAM kept their website promises of providing a smooth hotel stop-over including meals and transport for passengers with 6+ hours transit. Immigration hurdle was to queue for more than ½ hour. I was put up in a single room in the well-functioning 3 star Relax hotel (owned by the airline). Forre breakfast they provided fresh baked bread, served individually at tables. Got also a nice lunch within my 10 hours’ stay. I felt pampered and respected. RAM provides 2 x 23 kg luggage for luggage checked to final destination, in this case to Rwanda. 2 suitcases made it well, though a handle had gone missing. 2nd time with RAM, ticket not expensive, cooperation with Oneworld and Qatar works. Miles given. Recommend.",December 2025,,4,Banjul - Casablanca,North Africa,
Kemi O,"**Avoid at All Costs - Lost Luggage with Zero Support** I'm writing this on day 6 without my luggage after flying with Royal Air Maroc on December 19th. My bag has been missing since I landed, and I still have absolutely no idea where it is or when (or if) I'll ever see it again. This was supposed to be my Christmas break - something I looked forward to all year. Instead, I've spent the entire week dealing with customer service that has no answers, no updates, and seemingly no ability to locate my belongings. Every call yields the same response: they don't know where my bag is. I now have only 4 days left of my trip, none of my belongings, and zero confidence I'll be reunited with my luggage. No clothes, and no personal items. The complete lack of communication and follow-through from Royal Air Maroc has been appalling. My advice: pay the extra money and fly with a more reputable, trustworthy airline. The small savings are absolutely not worth the risk of having your entire trip ruined with no support whatsoever when things go wrong. One star is generous. I would give zero if I could.",December 2025,,1,London - Lagos,International,
Sightsee18282810916,"Very bad company lost luggage and they don’t care. Also, you have to take 2 buses from airport terminal to the plane and their planes are outdated. I’d never fly with them again, stay away.",August 2025,,1,Toronto - Casablanca,International,
Andrea F,"Horrible experience. We missed the flight because when we arrived at the gate there was no one even though on the screen it eas written ""embarking "". We waitited for someone to show up, no one call us and suddenly the gate closed. You left us without any notice, and we had to buy a new ticket and spend an extra night in Marocco because there were no more flights to Italy. What a shame, avoid this company!",December 2025,,1,Casablanca - Venice,International,
Jaan-Ts,"Absolute garbage that makes the likes of RyanAir and EasyJet look like luxury airlines. I do not know HOW this sad excuse of an airline got accepted into OneWorld, but it should definitely not be a part of that alliance. A truly appalling combination of : 1. The airline being incompetent beyond belief - flights rescheduled, no alternatives provided, calls unanswered, offices closed, emails ignored for 10 days and counting. The only lounge in Marrakesh was closed, making me sit in a small dirty room that did not even have water provided. The business / first lounge in Casablanca was open, but it was absolutely pathetic, felt like a bad school cafeteria with some very basic snacks that were completely inedible, some very bad tasting wine and their local tea, which was the only thing I could drink. Left hungry and very angry. 2. Very bad attitude of all staff members, who did not even pretend to care about the issues covered above. If you are planning to use this airline / do not do it. Do not be fooled by the word “Royal” or the OneWorld alliance logo like I did, this garbage airline should not exist.",December 2025,,1,Marrakech - Canton of Geneva,International,
VIAJE EN MARRUECOS,"Extremely poor service. Very disappointing experience. I took my flight at 7:00 p.m. with a one-hour layover in Casablanca, scheduled to arrive in Marrakech at 10:30 p.m. Instead, the delay turned it into a five-hour wait, and we didn’t arrive until 3:30 a.m., completely exhausted.",December 2025,,1,Barcelona - Marrakech,International,
caleb p,"My experience with RAM (Royal Air Maroc) was beyond UNACCEPTABLE . At Casablanca, I was denied boarding without any valid reason while the gate was still open. The airline had OVERBOOKED the flight and failed to provide any prior communication. As a result, I was forced to wait 12 hours OVERNIGHT at the airport with no food, no water, and no accommodation. FAMILIES with CHILDREN were left in the same appalling conditions. To make matters worse, RAM (Royal Air Maroc) then charged me ADDITIONAL FEES to get on the next flight. When I finally boarded, my LUGGUAGE did not arrive at the destination. The entire ordeal was marked by INCOMPETENCE, UNPROFESSIONALISM, and discriminatory behavior (RACISTE). Royal Air Maroc demonstrated a complete disregard for basic customer care and human decency. I would strongly advise anyone to avoid this airline at all costs.",December 2025,,1,Casablanca - Abidjan,Africa,
clint P,Yea avoid at all cost. 2 hrs before the flight they delay for 13hrs. This is just a short flight from fez to casablanca so not understanding the crazy 13 hrs delay. Anyhow we had connections out of casablanca in the afternoon same day and now we had to pay $300 plus in euro to get a driver to take us last minute. I called the airline. They refuse to refund and say we can only reschedule. What a joke and the guy on the phone is ridiculous dumb. Should I reschedule a flight with a company i will never use again and leaving this place never to come back. Royal air is the reason for not returning.,December 2025,,1,Fez - Casablanca,Domestic,
Andri Mateo,Terrible airline we waited in Agadir airport for 5 hours we were going to Casablanca and we get the information 19:45 when our flight was scheduled 19:15 that the flight would be cancelled and the staff there didn’t know anything,December 2025,,1,,,
Anthony A,The plane do not have charging port. This plane should be scrapped. Its old fashioned. It has ONE TOILET for the economy class. This is health and safety issue and IATA will be notified to address this with the company. Its not acceptable at all.,December 2025,,1,Manchester - Accra,International,
LangRen,"Non working charging port, No sound or partial sound coming to the headphone, Movies and music randomly skipped back to the beginning, Torn pocket, No response when the button to call for attendant was pushed Refused to collect food tray and asked passenger to put tray on the floor Received text from airline to check in online when checking in online returned an error message and asked passenger to check in at the airport in person. Flight attendant rude and condescending to passengers unable to speak either English and French Refused to let passengers use restroom in plane when boarding was still ongoing",December 2025,,1,,,
Margreet V,"Royal Air Maroc caused us to miss our connecting flight due to their own handling failures. We were not allowed to disembark in time, the first bus to the terminal left without us, and we were delayed again by long queues at passport control. None of these issues were within our control. Despite this, the airline refuses to take responsibility and denied our claim. The only compensation offered was a refund of airport taxes. After this experience, we will never fly with Royal Air Maroc again.",November 2025,,1,Amsterdam - Marrakech,International,
Haddy N,I spent a long time away from my family and planned to see them all at my brother’s wedding however royal flop maroc had other plans and left me stranded in Casablanca when I was supposed to be at my brothers wedding. The only reason I had accommodation was because of my UK passport I feel for all with west african passports they just hateee to see you coming.,December 2025,,1,London - Banjul,International,
Sto N,African stop traveling with Air Morocco if you get stock in Morocco you are on your own you will not get help and eveone in Morocco is rude,December 2025,,1,Manchester - Banjul,International,
Howard V,"Baggage did not arrive, after waiting an hour after arrival at 1.30 am. On arrival I was advised that 'baggage on Royal Air Marco not making it to Banjul' was a frequent occurance. There was a large crowd of similarly frustrated passengers outside the baggage services office. To add insult to injury it would have taken an hour or two to do the paperwork at the baggage services desk. As it was 2.30 am I did not wait. Even though the airline must be aware of the acute problem, no arrangements made to assist passengers with extra ground staff. Attempts to get answers online proved fruitless. I will avoid RAM next time.",December 2025,,1,Frankfurt - Banjul,International,
Victor O,"Worst experience, canceled flight no communication. They are absolutely ridiculous. They don’t even care about your schedule. They got me frustrated.",December 2025,,1,Manchester - Lagos,International,
Alexander A,Damage Luggage submitted a claim and it was not addressed properly to replace the suitcase. Ignored my numerous emails to replace the suitcase and pay for a replacement.,September 2025,,1,Montreal - Casablanca,International,
Mohamed E,"I have used more than a dozen airlines and this airline is by far the worst, their customer service don’t know nothing about customer service, had a lot of issues with them but the recent one is that I requested to pay for an extra bag two days before the trip and their customer service rep didn’t put in the request after he confirmed with me, so I ended up paying a lot more extra because the request was completed the day of the flight, even though it was their rep fault and they knew that from The call records but they still said we can’t do anything about it!",December 2025,,1,Cairo - Miami,International,
George A,Watest airline ever do not fly on it. I had very terrible experience with their customer service. I had return ticket. I missed the first leg and then they canceled the whole ticket so I couldn't return back and they even didn't want to issue a refund,December 2025,,1,Cairo - Washington DC,International,
Raluca M,"I was honestly a bit reluctant about flying with Royal Air Maroc because I had read quite a few negative reviews beforehand. But after the trip, I believe it’s only fair to share my own experience, which was very positive. I traveled Nantes–Casablanca–Banjul and back, and all four flights were on time - one even left ahead of schedule (the Banjul–Casablanca flight was supposed to leave at 2:30 AM, but by 2:15 we were already leaving the gate in Banjul). My luggage arrived without any problems, which was something I had worried about after reading prior reviews. The cabin crew did great on all flights. I also liked the details onboard - seats, cups and sugar packets decorated with Moroccan designs, and the food boxes promoting the upcoming African Cup of Nations, which will be held in Morocco. Details, but they made the experience more thoughtful. The planes themselves were quite old, but I didn’t mind at all. In fact, they were more comfortable than some newer aircraft I’ve flown on, with leather seats and extra legroom. Overall, what a good experience with RAM!",December 2025,,5,Nantes - Banjul,International,
Navin A,"One of the worst airlines we've flown in. The aircrafts are old, seats are uncomfortable, the staff on-board are obnoxious and overall our vacation travel was the worst experience ever. Will never fly in these lesser known airlines again.",November 2025,,1,Washington DC - Cairo,International,
Trip33578716650,"Clearly these people do not think they need to apologize for cancelling a flight. The personnel flies of the handle when you ask them for more information (specially if you are a colored person) and they leave you to fend for yourself with immigration services to retrieve your luggage. There was no one at the RAM booth when we got out of the international zone. They mad eus wait for an hour without a word then got us in a bus and dropped us off at a seedy hotel god knows where in Tunis. Moreover, we were forced (dozens of complete strangers) to share rooms because “the venue is at full capacity” without regard to our need for privacy and, apparently, personal welfare. It’s 1 AM the next day and I still don’t know when (or even if) is the pickup, tomorrow… At this point, I’m even ashamed to be of Moroccan descent. This company is supposed to embody the openheartedness of a people, but all it does is embody its prejudice. I’m never booking a flight with them again (if I make it home, that is).",November 2025,,1,Tunis - Casablanca,North Africa,
Dilawar k,Please avoid this crappy airline at all costs. This lost our luggage twice firstly going to Paris. It came on next flight. On the way back it took them 1 week to deliver it. Horrible old air planes. All 4 flights were delayed,November 2025,,1,Washington DC - Paris,International,
Stephen L,Flew to Conakry Guinea on Royal Air Maroc (RAM) from London Heathrow via Casablanca on 11th November 2025. They sell the flights with a 50 min transit time. Which is ludicrous. Surprisingly the suitcase never made the connecting flight to Casablanca and it was 3 days before the bag arrived. And when it did the locked North Face 80L Roll bag was soaking wet inside and out. It was if they had put a hosepipe into the bag.,November 2025,,1,London - Conakry,International,
J B,Very non friendly service at the luggage check in/ they never accept your online pass The partner airline cancelled on me and they would not take responsibility And now I have to stay over night at the New York airport,November 2025,,1,Charleston - Casablanca,International,
